"id","nome","idade","turma","nota","cidade","situacao"
"2","Bruno Lima","20","Administração A","7","Olinda","Aprovado"
"24","Daniela Freitas","21","Administração A","8","Olinda","Aprovado"
"5","Elisa Rocha","21","Administração A","8.9","Olinda","Aprovado"
"30","José Roberto","24","Administração A","6","Olinda","Recuperação"
"11","Lucas Pereira","21","Administração A","6.5","Olinda","Recuperação"
"36","Priscila Andrade","21","Administração A","9.3","Olinda","Aprovado"
"16","Renata Lima","19","Administração A","9","Olinda","Aprovado"
"21","Aline Monteiro","18","Administração B","7.6","Camaragibe","Aprovado"
"27","Gustavo Moura","22","Administração B","5.8","Camaragibe","Recuperação"
"33","Mônica Ribeiro","20","Administração B","8.7","Camaragibe","Aprovado"
"18","Tatiana Nunes","22","Administração B","6.2","Camaragibe","Recuperação"
"39","Thiago Moreira","23","Administração B","4.7","Camaragibe","Reprovado"
"1","Ana Souza","20","Info A","9","Recife","Aprovado"
"22","Beatriz Cavalcanti","20","Info A","9.1","Recife","Aprovado"
"3","Carla Santos","18","Info A","9.2","Recife","Aprovado"
"7","Gabriela Costa","19","Info A","9.7","Recife","Aprovado"
"28","Helena Paiva","20","Info A","9.6","Recife","Aprovado"
"12","Mariana Lopes","20","Info A","9.4","Recife","Aprovado"
"34","Natália Pires","19","Info A","5.1","Recife","Recuperação"
"14","Olívia Ramos","18","Info A","8.3","Recife","Aprovado"
"40","Vitória Fernandes","19","Info A","9.8","Recife","Aprovado"
"4","Diego Alves","22","Info B","6.8","Jaboatão","Recuperação"
"25","Eduardo Tavares","19","Info B","6.9","Jaboatão","Recuperação"
"51","Igor Martins","18","Info B","8.1","Jaboatão","Aprovado"
"31","Karen Albuquerque","18","Info B","7.3","Jaboatão","Aprovado"
"37","Rafael Batista","20","Info B","6.7","Jaboatão","Recuperação"
"17","Samuel Barros","21","Info B","4.9","Jaboatão","Reprovado"
"20","Wesley Cardoso","19","Info B","5.4","Jaboatão","Recuperação"
"6","Felipe Melo","20","Redes A","7.2","Moreno","Aprovado"
"26","Fernanda Queiroz","18","Redes A","7.9","Moreno","Aprovado"
"8","Henrique Silva","23","Redes A","7.5","Moreno","Aprovado"
"52","Joana Ferreira","19","Redes A","7.8","Moreno","Aprovado"
"32","Leandro Farias","21","Redes A","2.9","Moreno","Reprovado"
"13","Nicolas Gomes","22","Redes A","3.8","Moreno","Reprovado"
"15","Paulo Mendes","20","Redes A","7.1","Moreno","Aprovado"
"38","Sabrina Oliveira","18","Redes A","8.2","Moreno","Aprovado"
"23","Caio Dantas","23","Redes B","4.3","São Lourenço","Reprovado"
"29","Isabela Castro","19","Redes B","8.4","São Lourenço","Aprovado"
"35","Otávio Correia","22","Redes B","7.7","São Lourenço","Aprovado"
"19","Vinícius Araújo","20","Redes B","8.8","São Lourenço","Aprovado"
