"id","nome","idade","turma","nota","cidade"
"40","Vitória Fernandes","19","Info A","9.8","Recife"
"7","Gabriela Costa","19","Info A","9.7","Recife"
"28","Helena Paiva","20","Info A","9.6","Recife"
"12","Mariana Lopes","20","Info A","9.4","Recife"
"36","Priscila Andrade","21","Administração A","9.3","Olinda"
"3","Carla Santos","18","Info A","9.2","Recife"
"22","Beatriz Cavalcanti","20","Info A","9.1","Recife"
"1","Ana Souza","20","Info A","9","Recife"
"16","Renata Lima","19","Administração A","9","Olinda"
"5","Elisa Rocha","21","Administração A","8.9","Olinda"
"19","Vinícius Araújo","20","Redes B","8.8","São Lourenço"
"33","Mônica Ribeiro","20","Administração B","8.7","Camaragibe"
"29","Isabela Castro","19","Redes B","8.4","São Lourenço"
"14","Olívia Ramos","18","Info A","8.3","Recife"
"38","Sabrina Oliveira","18","Redes A","8.2","Moreno"
"51","Igor Martins","18","Info B","8.1","Jaboatão"
"24","Daniela Freitas","21","Administração A","8","Olinda"
"26","Fernanda Queiroz","18","Redes A","7.9","Moreno"
"52","Joana Ferreira","19","Redes A","7.8","Moreno"
"35","Otávio Correia","22","Redes B","7.7","São Lourenço"
"21","Aline Monteiro","18","Administração B","7.6","Camaragibe"
"8","Henrique Silva","23","Redes A","7.5","Moreno"
"31","Karen Albuquerque","18","Info B","7.3","Jaboatão"
"6","Felipe Melo","20","Redes A","7.2","Moreno"
"15","Paulo Mendes","20","Redes A","7.1","Moreno"
"2","Bruno Lima","20","Administração A","7","Olinda"
